Model Name,Overall,Chinese Culture,Classification,Code,Commonsense,Creative NLG,Evaluation,Grammar,Linguistic,Motion Detection,NER,NLI,QA,Reasoning,Role Playing,Sentiment,Structured Data,Style Transfer,Summarization,Toxic,Translation
Baichuan2-13B-Chat,0.529,0.52,0.674,0.333,0.641,0.497,0.686,0.542,0.528,0.578,0.563,0.632,0.569,0.515,0.752,0.624,0.459,0.462,0.332,0.441,0.273
Qwen-72B-Chat,0.519,0.486,0.63,0.296,0.634,0.508,0.634,0.458,0.52,0.494,0.55,0.626,0.565,0.528,0.762,0.613,0.496,0.459,0.282,0.608,0.271
Yi-34B-Chat,0.512,0.483,0.606,0.347,0.623,0.497,0.598,0.48,0.49,0.575,0.525,0.619,0.554,0.494,0.757,0.58,0.472,0.439,0.346,0.514,0.259
Qwen-14B-Chat,0.5,0.481,0.582,0.307,0.614,0.494,0.645,0.428,0.475,0.496,0.513,0.616,0.548,0.507,0.764,0.583,0.469,0.453,0.283,0.575,0.262
Deepseek-Llm-67B-Chat,0.471,0.467,0.571,0.259,0.577,0.486,0.549,0.442,0.476,0.475,0.509,0.566,0.496,0.439,0.711,0.546,0.409,0.436,0.262,0.57,0.235
Baichuan-13B-Chat,0.45,0.408,0.491,0.286,0.552,0.439,0.67,0.417,0.422,0.482,0.486,0.565,0.505,0.377,0.704,0.552,0.387,0.402,0.35,0.431,0.304
Chatglm3-6B,0.436,0.381,0.439,0.33,0.541,0.452,0.577,0.31,0.358,0.436,0.453,0.544,0.503,0.414,0.762,0.56,0.446,0.402,0.321,0.391,0.27
Yi-6B-Chat,0.417,0.402,0.454,0.313,0.523,0.425,0.506,0.383,0.383,0.487,0.396,0.523,0.457,0.369,0.754,0.482,0.401,0.38,0.31,0.455,0.227
Baichuan2-7B-Chat,0.412,0.437,0.647,0.16,0.52,0.402,0.58,0.511,0.444,0.455,0.407,0.489,0.395,0.406,0.67,0.517,0.342,0.298,0.101,0.463,0.138
Chatglm2-6B,0.352,0.278,0.469,0.346,0.403,0.424,0.535,0.274,0.397,0.406,0.24,0.397,0.352,0.326,0.714,0.438,0.298,0.313,0.32,0.461,0.19
Chatglm-6B-Sft,0.349,0.265,0.454,0.365,0.385,0.462,0.554,0.296,0.379,0.427,0.232,0.38,0.321,0.292,0.718,0.415,0.296,0.333,0.351,0.441,0.19
Chinese-Llama2-Linly-13B,0.344,0.25,0.462,0.311,0.399,0.429,0.557,0.273,0.358,0.385,0.268,0.39,0.33,0.313,0.653,0.433,0.279,0.332,0.292,0.457,0.181
Gpt-3.5-Turbo-Sft,0.343,0.269,0.427,0.298,0.389,0.395,0.575,0.325,0.365,0.389,0.226,0.382,0.394,0.345,0.71,0.433,0.324,0.266,0.29,0.397,0.225
Chinese-Alpaca-2-13B,0.341,0.242,0.421,0.356,0.382,0.442,0.602,0.256,0.363,0.43,0.21,0.376,0.334,0.317,0.714,0.459,0.299,0.316,0.308,0.452,0.2
Chinese-Alpaca-13B,0.334,0.25,0.399,0.348,0.364,0.435,0.616,0.275,0.349,0.421,0.223,0.37,0.309,0.319,0.724,0.426,0.285,0.307,0.298,0.445,0.181
Chinese-Alpaca-7B,0.334,0.216,0.412,0.378,0.381,0.425,0.576,0.265,0.359,0.393,0.243,0.383,0.326,0.295,0.71,0.409,0.301,0.327,0.325,0.405,0.186
